Id,"Ana-Synar-EnSyn-Def1"
FileType,"Ορισμός"
Field,"Ανάλυση"
Chapter,"Συναρτήσεις - Βασικές έννοιες"
Section,"Η έννοια της συνάρτησης"
ExerciseType,""
Difficulty,"0"
Path,"/home/spyros/Βάσεις Δεδομένων DataTeX/Α Λυκείου/Ανάλυση/Συναρτήσεις - Βασικές έννοιες/Η έννοια της συνάρτησης/Definitions/Ana-Synar-EnSyn-Def1.tex"
Date,"28/12/2022 13:29"
Solved_Prooved,"NO"
Bibliography,""
FileContent,"%# Database File : Ana-Synar-EnSyn-Def1\qt_endl%@ Database source: a_lykeiou\qt_endlΣυνάρτηση ονομάζεται η διαδικασία με την οποία κάθε στοιχείο ενός συνόλου $ A $ αντιστοιχίζεται σε ένα μόνο στοιχείο ενός συνόλου $ B $.\\\\\qt_endlΣυμβολίζεται με οποιοδήποτε γράμμα του λατινικού ή του ελληνικού αλφαβήτου $ f, g, h,\ldots $ και είναι : \[ f:A\rightarrow B \]\qt_endlΕίναι η σχέση που συνδέει δύο μεταβλητές $ x,y $ όπου κάθε τιμή της πρώτης $ (x\in A) $, του πρώτου συνόλου, αντιστοιχεί σε μόνο μια τιμή της δεύτερης $ (y\in B) $, του δεύτερου συνόλου.\vspace{-3mm}\qt_endl\begin{center}\qt_endl\begin{figure}[h]\qt_endl\centering\qt_endl\begin{tikzpicture}[scale=.6]\qt_endl\draw(0,0) ellipse (1cm and 1.5cm);\qt_endl\draw(4,0) ellipse (1cm and 1.5cm);\qt_endl\draw[fill=\xrwma!30] (4.1,0) ellipse (.6cm and 1.1cm);\qt_endl\draw[-latex] (0,.2) arc (140:40:2.6);\qt_endl\tkzDefPoint(0,.2){A}\qt_endl\tkzDefPoint(4,.2){B}\qt_endl\tkzDrawPoints(A,B)\qt_endl\tkzLabelPoint[left](A){{\footnotesize $ x $}}\qt_endl\tkzLabelPoint[right](B){{\footnotesize $ y $}}\qt_endl\tkzText(0,1.8){$ A $}\qt_endl\tkzText(4,1.8){$ B $}\qt_endl\tkzText(2,1.45){$ f $}\qt_endl\draw[-latex] (3.5,0) -- (2.7,-1) node[anchor=north east] {\footnotesize $ f\left( A\right)  $};\qt_endl\end{tikzpicture}\qt_endl\end{figure}\qt_endl\end{center}\qt_endl\vspace{-1.1cm}\qt_endl\begin{itemize}[itemsep=0mm]\qt_endl\item Η μεταβλητή $ x $ του συνόλου $ A $ ονομάζεται \textbf{ανεξάρτητη} ενώ η $ y $ \textbf{εξαρτημένη}.\qt_endl\item Η τιμή της $ y $ ονομάζεται \textbf{τιμή} της $ f $ στο $ x $ και συμβολίζεται $ y=f(x) $.\qt_endl\item Ο κανόνας της συνάρτησης, με τον οποίο γίνεται η αντιστοίχηση από το $ x $  στο $ f(x) $, ονομάζεται \textbf{τύπος της συνάρτησης}.\qt_endl\item Το σύνολο $ A $ λέγεται \textbf{πεδίο ορισμού} της συνάρτησης $ f $. Συμβολίζεται επίσης με $ D_f $. \qt_endl\item Το σύνολο με στοιχεία όλες τις τιμές $ f(x) $ για κάθε $ x\in A $ λέγεται \textbf{σύνολο τιμών} της $ f $, συμβολίζεται $ f\left(A\right) $ και ισχύει $ f\left(A\right)\subseteq B $.\qt_endl\item Εάν τα σύνολα $ A,B $ είναι υποσύνολα του συνόλου των πραγματικών αριθμών τότε μιλάμε για \textbf{πραγματική συνάρτηση πραγματικής μεταβλητής}.\qt_endl\end{itemize}\qt_endl%# End of file Ana-Synar-EnSyn-Def1"
Preamble,"Basic"
BuildCommand,"PdfLaTeX"
FileDescription,"Ο ορισμός της συνάρτησης"
Custom_Tags,""
