Id,"Ana-MonotAkrot-MonAkrGrPar-SectEx1"
FileType,"Άσκηση ενότητας"
Field,"Ανάλυση"
Chapter,"Παράγωγοι"
Section,"Μονοτονία ακρότατα συνάρτησης"
ExerciseType,"Μονοτονία και ακρότατα από γραφική παράσταση"
Difficulty,"0"
Path,"/home/spyros/Μαθηματικά/Βάση Δεδομένων Μαθηματικών/Ανάλυση/Ενότητες/Μονοτονία ακρότατα συνάρτησης/Ασκήσεις/Μονοτονία και ακρότατα από γραφική παράσταση/Ana-MonotAkrot-MonAkrGrPar-SectEx1.tex"
Date,"14/10/2020 15:47"
Solved_Prooved,"NO"
Bibliography,""
