Id,"DTX-Statistikh-MetThDias-MetraDiasp-MDParat-SectEx1"
FileType,"Άσκηση ενότητας"
Field,"Στατιστική"
Chapter,"Μέτρα θέσης και διασποράς"
Section,"Μέτρα διασποράς"
ExerciseType,"Μέτρα διασποράς από παρατηρήσεις"
Difficulty,"1"
Path,"/home/spyros/Μαθηματικά/Βάση Δεδομένων Μαθηματικών/Στατιστική/Μέτρα θέσης και διασποράς/Μέτρα διασποράς/Ασκήσεις/Μέτρα διασποράς από παρατηρήσεις/DTX-Statistikh-MetThDias-MetraDiasp-MDParat-SectEx1.tex"
Date,"26/1/2022 17:14"
Solved_Prooved,"NO"
Bibliography,""
FileContent,"%# Database File : DTX-Statistikh-MetThDias-MetraDiasp-MDParat-SectEx1\qt_endl%@ Database source: Mathematics\qt_endlΕξετάσαμε ως προς την τιμή του ψωμιού, 10 φούρνους σε μια πόλη και πήραμε τα παρακάτω αποτελέσματα:\qt_endl\begin{center}\qt_endl\begin{tabular}{ccccc}\qt_endl1.1 & 1 & 0.8 & 1.2 & 1\\\qt_endl0.9 & 1.1 & 1 & 0.9 & 1\qt_endl\end{tabular}\qt_endl\end{center}\qt_endlΝα υπολογίσετε\qt_endl\begin{alist}\qt_endl\item τη μέση τιμή του δείγματος.\qt_endl\item τη διακύμανση και την τυπική απόκλιση.\qt_endl\end{alist}\qt_endl%# End of file DTX-Statistikh-MetThDias-MetraDiasp-MDParat-SectEx1"
Preamble,"Basic"
BuildCommand,"PdfLaTeX"
FileDescription,"Μέση τιμή, Διασπορά και απόκλιση. Μικρό δείγμα παρατηρήσεων"
Class,""
Year,""
Semester,""
Custom_Tags,""
